Transaction Date,Total amount Withdrawn,Weekday,Festival Religion,Working Day,Holiday Sequence
2013-01-06,307200,3,4,0,3
2013-01-07,273500,1,4,1,7
2013-01-08,242600,5,4,1,7
2013-01-09,215300,6,4,1,7
2013-01-10,336000,4,4,1,7
2013-01-11,341600,0,4,1,6
2013-01-12,329300,2,4,0,0
2013-01-13,289800,3,4,0,0
2013-01-14,268900,1,1,0,0
2013-01-15,261100,5,1,0,0
2013-01-16,378500,6,1,0,1
2013-01-17,324400,4,4,1,3
2013-01-18,254400,0,4,1,6
2013-01-19,248100,2,4,0,4
2013-01-20,222900,3,4,0,1
2013-01-21,393900,1,4,1,3
2013-01-22,310100,5,4,1,7
2013-01-23,329200,6,4,1,7
2013-01-24,350400,4,4,1,6
2013-01-25,228200,0,2,0,4
2013-01-26,128800,2,3,0,0
2013-01-27,197100,3,4,0,0
2013-01-28,494200,1,4,1,3
2013-01-29,378100,5,4,1,7
2013-01-30,211500,6,4,1,7
2013-01-31,297000,4,4,1,7
